No,ClusteringOn,ClusterSize,Granularity,UseTrainedModel,ExploreBySimilarity,Disambiguate,TotalNumOfIntents,ClusterNumOfSampleSentences,SentencesGenerallyRelated,SentencesGenerallyUnrelated,SentencesTruelyRelated,SentencesOutOfTruelyRelated,SentencesOutCluster,SentencesDividedInClusters,HighestMatchScore_OtherIntent1,HighestMatchScore_OtherIntent2,NewCluster,Intent,SubIntent,F1,Precision,Recall,Accuracy,AvgF1,AvgPrecision,AvgRecall,AvgAccuracy,Confidence,Coverage,SuccessfulClustering,OpHardness,Time (min),Note
1,1,3,30,0,0,0,20,13,13,0,10,3,3,1,41,20,1,Convenience_Store_Payment_Issues,,83,91,77,99,88,89,87,99,70,24,1,Complicated,10,Coverage dropped from 28 to 24
2,1,3,30,0,0,0,21,12,11,1,8,2,4,1,80,8,0,Have_Not_Received_Payment_Email,,91,90,92,99,89,90,88,99,70,24,1,Normal,4,
3,1,3,30,0,0,0,21,10,10,0,9,1,1,1,100,,0,Why_Purchase_Order_Was_Suddenly_Canceled,,94,92,96,96,89,90,89,99,70,31,1,Easy,2,Coverage up from 24 to 31
4,1,3,30,0,0,0,21,20,19,1,17,1,3,1,97,1,0,Change_Payment_Method,,96,96,96,99,90,90,89,99,70,31,1,Easy,1,
5,1,3,30,0,0,0,21,20,20,0,14,6,6,1,100,,0,Why_Purchase_Order_Was_Suddenly_Canceled,Why_Purchase_Order_Was_Suddenly_Canceled_Long_Questions,91,87,95,95,85,85,85,99,70,28,1,Easy,2,Coverage dropped from31 to 28
6,1,3,30,0,0,0,22,18,18,0,17,1,1,2,84,14,0,Why_Purchase_Order_Was_Suddenly_Canceled,,90,87,94,94,84,85,84,99,70,24,1,Normal,5,Coverage dropped from 28 to 24
7,1,3,30,0,0,0,22,11,11,0,11,0,0,1,43,28,1,Payment,,95,100,91,100,85,86,84,99,70,28,1,Easy,1,Coverage up from 24 to 28
8,1,3,30,0,0,0,23,6,6,0,6,0,0,1,68,23,0,Refund,,93,93,94,99,85,86,85,99,70,29,1,Easy,1,
9,1,3,30,0,0,0,23,8,8,0,7,1,1,1,83,9,0,Have_Not_Received_Refund_Email,,86,96,79,99,84,85,84,99,70,28,1,Easy,1,
10,1,3,30,0,0,0,23,6,6,0,6,0,0,1,96,2,0,Change_Payment_Method,,95,96,95,99,85,86,85,99,70,29,1,Easy,1,
11,1,3,30,0,0,0,23,7,7,0,6,1,1,1,27,21,1,Want_To_Confirm_Payment_Status,,100,100,100,100,86,87,85,99,70,29,1,Easy,1,
12,1,3,30,1,0,0,25,4,4,0,4,0,0,1,10,8,0,Other_Things,Unrelated_Things,93,100,88,100,85,87,85,99,70,29,1,Easy,1,
13,1,3,30,1,0,0,25,5,5,0,5,0,0,1,10,5,0,Other_Things,Unrelated_Things,100,100,100,100,86,87,86,99,70,31,1,Easy,1,Coverage up from 29 to 31
14,1,3,30,1,0,0,25,20,20,0,20,0,0,1,30,8,0,Other_Things,Unrelated_Things,100,100,100,100,86,88,86,99,70,33,1,Easy,1,Coverage up from 31 to 33
15,1,3,30,1,0,0,25,3,3,0,3,0,0,1,91,2,0,Other_Things,Unrelated_Things,100,100,100,100,86,87,87,99,70,33,1,Easy,1,
16,1,3,30,1,0,0,25,12,12,0,10,2,2,1,32,6,1,Other_Things,Personal_Feeling,100,100,100,100,87,88,87,99,70,34,1,Easy,2,
17,1,3,30,1,0,0,26,13,13,0,13,0,0,1,16,9,1,Other_Things,Fake,100,100,100,100,86,87,86,99,70,34,1,Easy,1,
18,1,3,30,1,0,0,27,12,12,0,12,0,0,1,10,8,0,Other_Things,Unrelated_Things,100,100,100,100,87,88,87,99,70,34,1,Easy,1,
19,1,3,30,1,0,0,27,9,9,0,8,1,1,1,17,6,1,Safe_Shopping_Service,,100,100,100,100,88,88,88,99,70,34,1,Easy,1,
20,0,3,30,1,1,0,28,38,38,0,38,0,0,1,,,0,Safe_Shopping_Service,,100,100,100,100,87,88,87,99,70,35,1,Normal,6,Coverage up from 34 to 35
21,0,3,30,1,1,0,28,34,34,0,34,0,0,1,,,0,Want_To_Confirm_Payment_Status,,98,95,100,100,88,89,89,99,70,29,1,Normal,5,Coverage down from 35 to 29
22,0,3,30,1,1,0,28,86,86,0,81,5,5,1,,,0,Could_Not_Contact_Shop,,100,100,100,100,88,89,88,99,70,38,1,Normal,5,Coverage up from 29 to 38
23,0,3,30,1,1,0,28,142,142,0,142,0,0,1,,,0,Payment,,98,98,98,99,88,88,88,99,70,41,1,Normal,7,Coverage up from 38 to 41
24,0,3,30,1,1,0,28,52,52,0,52,0,0,1,,,0,Could_Not_Contact_Shop_When_Returning_Or_Exchanging_Items,,93,88,100,99,88,89,88,99,70,42,1,Normal,6,
25,0,3,30,1,1,0,28,50,50,0,47,3,3,1,,,0,Convenience_Store_Payment_Issues,,93,92,94,99,89,91,89,99,70,41,1,Normal,5,
26,0,3,30,1,1,0,28,32,32,0,32,0,0,1,,,0,Issues_With_Card_Payment,,95,94,96,100,89,90,89,100,70,43,1,Complicated,11,Coverage up from 41 to 43
27,0,3,30,1,1,0,28,47,47,0,40,7,7,1,,,0,Lawson_Payment_Issues,,95,95,95,100,90,90,89,100,70,42,1,Normal,6,
28,0,3,30,1,1,0,28,70,70,0,70,0,0,1,,,0,Not_Good_Products_Were_Delivered,,99,100,99,100,90,91,90,100,70,45,1,Normal,8,Coverage up from 42 to 45
29,0,3,30,1,1,0,28,36,36,0,34,2,2,1,,,0,Want_To_Cancel_Order_Because_Couldnot_Contact_Shop,,96,96,96,100,91,91,91,100,70,43,1,Normal,7,Coverage down from 45 to 43
30,0,3,30,1,1,0,28,24,24,0,24,0,0,1,,,0,Problems_Of_Email_Used_In_Placing_Orders,,93,91,95,100,91,91,91,100,70,45,1,Normal,5,Coverage up from 43 to 45
31,0,3,30,1,1,0,28,26,26,0,23,3,3,1,,,0,Want_To_Know_Payment_Number,,95,98,92,100,91,92,92,100,70,45,1,Normal,5,
32,0,3,30,1,0,1,28,1,1,0,1,0,0,1,62,,0,Lawson_Payment_Issues,,95,95,95,100,91,92,92,100,70,45,1,Easy,0.5,
33,0,3,30,1,0,1,28,4,4,0,4,0,0,1,63,,0,Not_Good_Products_Were_Delivered,,100,100,100,100,92,92,92,100,70,45,1,Easy,0.5,
34,0,3,30,1,0,1,28,3,3,0,3,0,0,1,93,,0,Have_Not_Received_Payment_Email,,89,93,85,99,92,92,92,100,70,45,1,Easy,0.5,
35,0,3,30,1,0,1,28,6,6,0,6,0,0,1,88,,0,Why_Purchase_Order_Was_Suddenly_Canceled,,93,89,96,98,92,92,92,100,70,45,1,Easy,1,
36,0,3,30,1,0,1,28,3,3,0,3,0,0,1,92,86,0,Want_To_Know_Payment_Number,,97,100,94,100,92,92,93,100,70,45,1,Easy,1,
37,0,3,30,1,0,1,28,5,5,0,5,0,0,1,67,,0,Why_Purchase_Order_Was_Suddenly_Canceled,,93,89,97,98,93,93,93,100,70,45,1,Easy,1.5,
38,0,3,30,1,0,1,28,4,4,0,4,0,0,2,75,63,0,Change_Payment_Method,,93,96,91,99,93,93,93,100,70,45,1,Easy,1,
39,1,3,30,0,0,0,28,39,39,0,38,1,1,1,41,26,1,Not_Found_Purchase_History,,94,93,95,100,93,92,93,100,70,45,1,Easy,2,
40,1,3,30,0,0,0,29,50,50,0,50,0,0,1,,,1,Complaint_AI_Bot_And_Copypaste_Operators,,98,100,96,100,93,93,93,100,70,48,1,Normal,4,Coverage up from 45 to 48
41,1,3,30,0,0,0,30,37,37,0,37,0,0,1,85,,1,Want_To_Know_Purchase_Order_Number,,100,100,100,100,93,93,93,100,70,49,1,Normal,3,
42,1,3,30,1,0,0,31,10,10,0,10,0,0,1,73,,0,Issues_With_Card_Payment,,95,96,95,100,93,94,93,100,70,50,1,Normal,2.5,Coverage up from 49 to 50
